dataset,topk,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn4,40,pagerank,100.0,1.0,0.4611965811965812,1.0,0.29971428571428566,0.9994525294525295,1.0,0.0,0.9844945669174194,0.0,0.9793387651443481,40.0,0.0137,1936.0,0.0012086776859503957,1933.66
syn4,40,pgmexplainer,100.0,1.0,0.6343898940203692,1.0,0.4792095538620306,0.9999194386694387,1.0,0.0,0.9844945669174194,-0.002013876335695386,0.985857367515564,27.38,4.6519,1936.0,0.985082644628099,28.88
syn4,40,random,100.0,1.0,0.012715854194115063,0.04833333333333333,0.007321187584345479,0.5017751645876648,0.1,1.0,0.09807747602462769,0.9844967126846313,0.9793387651443481,40.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,40,sa_node,100.0,1.0,0.05222325070183802,0.13166666666666665,0.032579046316002835,0.5570859320859322,0.06,1.0,0.19685661792755127,0.9844944477081299,0.9793387651443481,40.0,0.0058,1936.0,0.0013533057851239606,1933.38
syn4,40,subgraphx,100.0,1.0,0.713090909090909,0.6066666666666667,0.8690000000000001,-1.0,1.0,1.0,0.9844944477081299,0.9489234685897827,0.9956300258636475,8.46,0.3458,1936.0,0.9956301652892579,8.46
syn4,100,distance,100.0,1.0,0.1827078773026032,1.0,0.10055333191802668,0.998533437283437,1.0,0.0,0.9844945669174194,0.0,0.9483471512794495,100.0,0.0072,1936.0,0.004979338842975205,1926.36
syn4,100,gnnexplainer,100.0,1.0,0.7796968542069497,1.0,0.6539945789504614,0.9980868849618849,1.0,0.0,0.9844945669174194,0.0,0.989886462688446,19.58,2.5528,1936.0,0.9898863636363642,19.58
syn4,100,ig_node,100.0,1.0,0.35972770177242325,0.9983333333333333,0.2509901943272341,0.9986832986832984,1.0,0.0,0.9844945669174194,0.029286691918969154,0.9621281623840332,73.32,0.1698,1936.0,0.35747933884297495,1243.92
syn4,100,occlusion,100.0,1.0,0.11659892349637356,0.6416666666666667,0.06412739641072146,0.7083222886347884,0.99,0.83,0.9792123436927795,0.8245094418525696,0.9483471512794495,100.0,0.0843,1936.0,0.0010743801652892315,1933.92
syn4,100,pagerank,100.0,1.0,0.2137593984962406,1.0,0.11967058823529411,0.9994525294525296,1.0,0.0,0.9844945669174194,0.0,0.9483471512794495,100.0,0.0112,1936.0,0.0012086776859503957,1933.66
syn4,100,pgmexplainer,100.0,1.0,0.6259083472937177,1.0,0.47261265945209274,0.9998821898821899,1.0,0.0,0.9844945669174194,0.0,0.9850826263427734,28.88,4.0324,1936.0,0.985082644628099,28.88
syn4,100,random,100.0,1.0,0.010041631559164217,0.08666666666666666,0.0053296647263815135,0.49623505717255717,0.22,1.0,0.20644928514957428,0.9844977855682373,0.9483471512794495,100.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,100,sa_node,100.0,1.0,0.024411317848817844,0.13166666666666665,0.013452982251068935,0.5435464310464311,0.06,1.0,0.19685661792755127,0.9844944477081299,0.9483471512794495,100.0,0.0064,1936.0,0.0013533057851239606,1933.38
syn4,100,subgraphx,100.0,1.0,0.7069090909090907,0.6016666666666667,0.861,-1.0,1.0,1.0,0.9844944477081299,0.9493544101715088,0.9956197142601013,8.48,0.3739,1936.0,0.9956198347107456,8.48
syn4,500,distance,100.0,1.0,0.040144230954562696,1.0,0.020483729498184226,0.9985334372834371,1.0,0.0,0.9844945669174194,0.0,0.7417356371879578,500.0,0.0088,1936.0,0.004979338842975205,1926.36
syn4,500,gnnexplainer,100.0,1.0,0.7796968542069497,1.0,0.6539945789504614,0.9980409736659737,1.0,0.0,0.9844945669174194,0.0,0.989886462688446,19.58,2.71,1936.0,0.9898863636363642,19.58
syn4,500,ig_node,100.0,1.0,0.2607757856143242,0.9983333333333333,0.19537752282628243,0.9985100485100484,1.0,0.0,0.9844945669174194,0.029286691918969154,0.8298966884613037,329.32,0.177,1936.0,0.35747933884297495,1243.92
syn4,500,occlusion,100.0,1.0,0.021842039915737698,0.6416666666666667,0.011110115111779844,0.6505433558558558,0.99,0.83,0.9792123436927795,0.8245094418525696,0.7417356371879578,500.0,0.0639,1936.0,0.0010743801652892315,1933.92
syn4,500,pagerank,100.0,1.0,0.0468476551895756,1.0,0.023985664959210774,0.9994525294525296,1.0,0.0,0.9844945669174194,0.0,0.7417356371879578,500.0,0.0134,1936.0,0.0012086776859503957,1933.66
syn4,500,pgmexplainer,100.0,1.0,0.6259083472937177,1.0,0.47261265945209274,0.9998674636174637,1.0,0.0,0.9844945669174194,0.0,0.9850826263427734,28.88,4.6244,1936.0,0.985082644628099,28.88
syn4,500,random,100.0,1.0,0.012668984003380103,0.4666666666666666,0.006421673633456879,0.5110137300762301,0.73,0.99,0.7159380912780762,0.9697954058647156,0.7417356371879578,500.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,500,sa_node,100.0,1.0,0.004491245657694258,0.13166666666666665,0.002284587521077376,0.4532830907830909,0.06,1.0,0.19685661792755127,0.9844944477081299,0.7417356371879578,500.0,0.0041,1936.0,0.0013533057851239606,1933.38
syn4,500,subgraphx,100.0,1.0,0.7038181818181816,0.5983333333333333,0.8584999999999999,-1.0,1.0,1.0,0.9844944477081299,0.9489234685897827,0.9956300258636475,8.46,0.3733,1936.0,0.9956301652892579,8.46
syn5,10,distance,100.0,1.0,0.6627625882889042,0.5416666666666667,0.8594325396825397,0.6819063176806456,0.93,1.0,0.8039605617523193,0.8655093312263489,0.9970675706863403,10.0,0.0149,3410.0,0.0012199413489736243,3405.84
syn5,10,gnnexplainer,100.0,1.0,0.5963826232247286,0.5083333333333334,0.727111111111111,0.6512544300059067,0.81,1.0,0.683902382850647,0.8687246441841125,0.9970675706863403,10.0,2.7339,3410.0,0.989724340175953,35.04
syn5,10,ig_node,100.0,1.0,0.5322635018919848,0.3808333333333333,0.8869047619047619,0.6848365820043315,0.8,0.91,0.6983481049537659,0.7867624163627625,0.9970675706863403,10.0,0.2212,3410.0,0.7780938416422291,756.7
syn5,10,occlusion,100.0,1.0,0.3163982683982684,0.285,0.3562222222222223,0.5703918094113016,0.74,1.0,0.6107132434844971,0.8678476810455322,0.9970675706863403,10.0,0.151,3410.0,0.002346041055718473,3402.0
syn5,10,pagerank,100.0,1.0,0.5529411764705882,0.39333333333333337,0.932,0.6936589387674738,1.0,0.99,0.8666999340057373,0.8185575008392334,0.9970675706863403,10.0,0.0181,3410.0,0.0008445747800586767,3407.12
syn5,10,pgmexplainer,100.0,1.0,0.5432026143790848,0.385,0.9223333333333333,0.6919743059657409,0.93,0.92,0.7737110257148743,0.7428487539291382,0.9970675706863403,10.0,5.7492,3410.0,0.9833782991202349,56.68
syn5,10,random,100.0,1.0,0.010909090909090908,0.009999999999999998,0.012000000000000002,0.5010387133293954,0.02,1.0,0.012150156311690807,0.8667395710945129,0.9970675706863403,10.0,0.0,3410.0,0.0002932551319647647,3409.0
syn5,10,sa_node,100.0,1.0,0.562549019607843,0.40166666666666656,0.941,0.6959663565662529,0.97,0.96,0.8235204219818115,0.7876510620117188,0.9970675706863403,10.0,0.0046,3410.0,0.9833782991202349,56.68
