dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,cc_ratio_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio_transf,time,number_of_edges
syn1,True,True,7.0,ig,20.0,0.1,0.55,-0.01410406082868576,0.46558865904808044,-1.0,-1.0,-1.0,-1.0,0.08,0.1,0.06666666666666667,4097.1,8.20425696241743,0.8923134702121118,0.0016428571428571432,7.0,1.9453649646828264,0.988009710128454,0.2981818181818182,0.1724,4110.0
syn1,True,True,7.0,occlusion,20.0,0.45,0.2,0.38599568605422974,0.10226394981145859,-1.0,-1.0,-1.0,-1.0,0.16153846153846155,0.14999999999999997,0.175,4109.0,8.309862676151068,0.9249462863877405,0.0014285714285714286,7.0,1.9441243410693905,0.9309543665631155,0.29858585858585857,0.6812,4110.0
syn1,True,True,7.0,pagerank,20.0,0.55,0.25,0.4508761465549469,0.13509126007556915,-1.0,-1.0,-1.0,-1.0,0.7400000000000001,0.925,0.6166666666666665,2987.4,6.366147200272256,0.0010056247006875524,0.0027506538915790077,7.0,1.9370714462401941,0.8130627653616026,0.23500000000000001,0.0287,4110.0
syn1,True,True,7.0,pgexplainer,20.0,0.05,0.55,0.026425471529364586,0.4426844120025635,-1.0,-1.0,-1.0,-1.0,0.01,0.0125,0.008333333333333333,923.7,5.82317199177394,0.01653129427957888,0.19425805253696501,7.0,1.9458579076018772,0.9856901320241491,0.5,49.9946,4110.0
syn1,True,True,7.0,pgmexplainer,20.0,0.3,0.8,0.21265068650245667,0.518196165561676,-1.0,-1.0,-1.0,-1.0,0.51,0.6375,0.425,802.3,5.698170467642355,0.24972856268444293,0.020465026039857327,7.0,1.9420353131629227,0.9485256866909608,0.28428571428571425,3.1267,4110.0
syn1,True,True,7.0,random,20.0,0.0,0.55,-4.887580757895194e-07,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4104.7,8.126336122121874,0.4267193171526162,0.0014285714285714286,7.0,1.9459100163121537,0.9987995372818643,0.49230769230769234,0.0002,4110.0
syn1,True,True,7.0,sa,20.0,0.55,0.55,0.3542402386665344,0.4661194682121277,-1.0,-1.0,-1.0,-1.0,0.08,0.1,0.06666666666666667,3728.3,7.83762953814387,0.8919433566541951,0.002128294036061027,7.0,1.9453494702489091,0.9831113678449244,0.30083333333333334,0.0036,4110.0
syn1,True,True,7.0,subgraphx,20.0,0.5,0.6,0.3468726575374603,0.4309372901916504,-1.0,-1.0,-1.0,-1.0,0.6625324675324675,0.9325000000000001,0.5833333333333333,9.6,1.9908069252710916,1.0,0.2766666666666667,5.5,1.570081258506702,1.0,0.2833333333333333,0.1252,4110.0
syn1,True,True,8.0,basic_gnnexplainer,20.0,0.3,0.6,0.1549907624721527,0.4696651101112366,-1.0,-1.0,-1.0,-1.0,0.33727106227106224,0.3302380952380952,0.35000000000000003,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,8.0,2.009997976546044,0.942968703301592,0.31600926850926847,3.2343,4110.0
syn1,True,True,8.0,distance,20.0,0.25,0.7,0.180739626288414,0.5150498151779175,-1.0,-1.0,-1.0,-1.0,0.7332750582750582,0.7420238095238096,0.7333333333333333,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,8.0,1.9953365956194424,0.43736150793650796,0.16456349206349208,0.0145,4110.0
