,dataset,datatype,explainer,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,pred_type,time,topk,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device,seed
857,mutag,binary,subgraphx,0.02,0.11,-0.005541599355638,-0.0683664306998252,phenomenon,2.278979967439871,soft,9.8,0.7709715627212493,1.0,gat,100,mix,13.9671,9.0,,,,,,
858,mutag,binary,subgraphx,0.02,0.11,-0.0060008149594068,-0.0671599805355072,phenomenon,2.3666653328598493,soft,10.72,0.7502999460996016,1.0,gat,100,mix,13.9671,10.0,,,,,,
859,mutag,binary,subgraphx,0.02,0.11,-0.0049336687661707,-0.0661093518137931,phenomenon,2.710047992419707,soft,15.3,0.6472866905775685,1.0,gat,100,mix,13.9671,15.0,,,,,,
860,mutag,binary,subgraphx,0.02,0.11,-0.0040270159952342,-0.0662028864026069,phenomenon,2.8141295429539714,soft,17.08,0.6072074124539295,1.0,gat,100,mix,13.9671,20.0,,,,,,
861,mutag,binary,subgraphx,0.02,0.11,-0.0040270159952342,-0.0662028864026069,phenomenon,2.8141295429539714,soft,17.08,0.6072074124539295,1.0,gat,100,mix,13.9671,25.0,,,,,,
862,mutag,binary,subgraphx,0.02,0.11,-0.0040270159952342,-0.0662028864026069,phenomenon,2.8141295429539714,soft,17.08,0.6072074124539295,1.0,gat,100,mix,13.9671,50.0,,,,,,
863,mutag,binary,subgraphx,0.02,0.11,-0.0040270159952342,-0.0662028864026069,phenomenon,2.8141295429539714,soft,17.08,0.6072074124539295,1.0,gat,100,mix,13.9671,100.0,,,,,,
864,mutag,binary,subgraphx,0.1,0.11,-0.0501551926136016,0.0840861722826957,phenomenon,2.8212540426744983,hard,17.18,0.5968534612947776,1.0,gat,100,mix,13.2403,,,,,,,
865,mutag,binary,subgraphx,0.03,0.11,-0.0185202695429325,0.0840861722826957,phenomenon,0.6931471805599458,hard,2.0,0.9520644075923976,1.0,gat,100,mix,13.2403,1.0,,,,,,
866,mutag,binary,subgraphx,0.04,0.11,-0.0200761556625366,0.0840861722826957,phenomenon,1.0986122886681082,hard,3.0,0.928096611388597,1.0,gat,100,mix,13.2403,2.0,,,,,,
867,mutag,binary,subgraphx,0.04,0.11,-0.0206734426319599,0.0840861722826957,phenomenon,1.3862943611198917,hard,4.0,0.9041288151847958,1.0,gat,100,mix,13.2403,3.0,,,,,,
868,mutag,binary,subgraphx,0.06,0.11,-0.0418260805308818,0.0840861722826957,phenomenon,1.6094379124340994,hard,5.0,0.8801610189809957,1.0,gat,100,mix,13.2403,4.0,,,,,,
869,mutag,binary,subgraphx,0.09,0.11,-0.0546971559524536,0.0840861722826957,phenomenon,1.7917594692280547,hard,6.0,0.8561932227771949,1.0,gat,100,mix,13.2403,5.0,,,,,,
870,mutag,binary,subgraphx,0.1,0.11,-0.0579717680811882,0.0840861722826957,phenomenon,1.9412856286604967,hard,6.97,0.8332052800532481,1.0,gat,100,mix,13.2403,6.0,,,,,,
871,mutag,binary,subgraphx,0.1,0.11,-0.0572420991957187,0.0840861722826957,phenomenon,2.070811079506286,hard,7.94,0.8102173373293005,1.0,gat,100,mix,13.2403,7.0,,,,,,
872,mutag,binary,subgraphx,0.1,0.11,-0.057100523263216,0.0840861722826957,phenomenon,2.1815271330232804,hard,8.88,0.78841529204125,1.0,gat,100,mix,13.2403,8.0,,,,,,
873,mutag,binary,subgraphx,0.1,0.11,-0.0562604218721389,0.0840861722826957,phenomenon,2.280566017741637,hard,9.82,0.7666132467532003,1.0,gat,100,mix,13.2403,9.0,,,,,,
874,mutag,binary,subgraphx,0.1,0.11,-0.0563018694519996,0.0840861722826957,phenomenon,2.370157586757702,hard,10.76,0.7448112014651508,1.0,gat,100,mix,13.2403,10.0,,,,,,
875,mutag,binary,subgraphx,0.1,0.11,-0.050017062574625,0.0840861722826957,phenomenon,2.716615787783598,hard,15.38,0.6383009750249006,1.0,gat,100,mix,13.2403,15.0,,,,,,
876,mutag,binary,subgraphx,0.1,0.11,-0.0501551926136016,0.0840861722826957,phenomenon,2.8212540426744983,hard,17.18,0.5968534612947776,1.0,gat,100,mix,13.2403,20.0,,,,,,
877,mutag,binary,subgraphx,0.1,0.11,-0.0501551926136016,0.0840861722826957,phenomenon,2.8212540426744983,hard,17.18,0.5968534612947776,1.0,gat,100,mix,13.2403,25.0,,,,,,
878,mutag,binary,subgraphx,0.1,0.11,-0.0501551926136016,0.0840861722826957,phenomenon,2.8212540426744983,hard,17.18,0.5968534612947776,1.0,gat,100,mix,13.2403,50.0,,,,,,
879,mutag,binary,subgraphx,0.1,0.11,-0.0501551926136016,0.0840861722826957,phenomenon,2.8212540426744983,hard,17.18,0.5968534612947776,1.0,gat,100,mix,13.2403,100.0,,,,,,
880,mutag,binary,subgraphx,0.12,0.12,-0.0596491433680057,0.0775709748268127,phenomenon,2.8272561345235045,hard,17.24,0.6079993993611266,1.0,gat,100,mix,13.9419,,,,,,,
881,mutag,binary,subgraphx,0.05,0.12,-0.0133943827822804,0.0775687396526336,phenomenon,0.6931471805599458,hard,2.0,0.9533640932887232,1.0,gat,100,mix,13.9419,1.0,,,,,,
882,mutag,binary,subgraphx,0.06,0.12,-0.0189401619136333,0.0775687396526336,phenomenon,1.0986122886681082,hard,3.0,0.9300461399330864,1.0,gat,100,mix,13.9419,2.0,,,,,,
