dataset,threshold,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn4,0.8,subgraphx,100.0,1.0,0.695272727272727,0.5916666666666667,0.847,0.7954747054747053,1.0,1.0,0.9844945669174194,0.9493544101715088,0.9956198334693909,8.48,0.2643,1936.0,0.9956198347107456,8.48
syn4,0.9,distance,100.0,1.0,0.4872222222222223,0.3333333333333334,0.9233333333333333,0.583273562023562,0.77,1.0,0.6813338398933411,0.9844945669174194,0.9988482594490051,2.23,0.0097,1936.0,0.004979338842975205,1926.36
syn4,0.9,gnnexplainer,100.0,1.0,0.6567543567543567,0.6733333333333333,0.6615873015873014,0.7113968295218297,0.93,0.99,0.9061156511306763,0.9618543386459351,0.9959813952445984,7.78,5.2772,1936.0,0.9898863636363642,19.58
syn4,0.9,ig_node,100.0,1.0,0.4698571428571428,0.325,0.9933333333333333,0.66248613998614,0.94,1.0,0.9039318561553955,0.9113627076148987,0.9979442358016968,3.98,0.1534,1936.0,0.35747933884297495,1243.92
syn4,0.9,occlusion,100.0,1.0,0.3722857142857143,0.235,1.0,0.5666666666666668,0.99,1.0,0.9662304520606995,0.9845030903816223,0.9991735219955444,1.6,0.0787,1936.0,0.0010743801652892315,1933.92
syn4,0.9,pagerank,100.0,1.0,0.4872222222222223,0.3333333333333334,0.9233333333333333,0.6665748440748444,1.0,1.0,0.9844945669174194,0.8602080345153809,0.9976962208747864,4.46,0.0138,1936.0,0.0012086776859503957,1933.66
syn4,0.9,pgmexplainer,100.0,1.0,0.9236923076923077,0.995,0.8682738095238096,0.9973527373527373,1.0,0.04,0.984000027179718,0.05795300006866455,0.992779016494751,13.98,4.5702,1936.0,0.985082644628099,28.88
syn4,0.9,random,100.0,1.0,0.011800919344697056,0.18666666666666668,0.0060939510490720826,0.4981535862785863,0.31,1.0,0.3157658576965332,0.9844992756843567,0.8992819786071777,194.99,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.9,sa_node,100.0,1.0,0.15003955353969997,0.13166666666666665,0.2901876093929503,0.3569464656964658,0.06,1.0,0.1983061581850052,0.9844945669174194,0.5542975068092346,862.88,0.0036,1936.0,0.0013533057851239606,1933.38
syn4,0.9,subgraphx,100.0,1.0,0.7087272727272727,0.6033333333333333,0.8630000000000001,0.8013444213444211,1.0,1.0,0.9844945669174194,0.9493544101715088,0.9956197142601013,8.48,0.2437,1936.0,0.9956198347107456,8.48
syn5,0.5,distance,100.0,1.0,0.3587492997198879,0.22666666666666668,0.9143333333333333,0.5566164599330576,0.45,1.0,0.43155503273010254,0.8666999340057373,0.9991027116775513,3.06,0.0124,3410.0,0.0012199413489736243,3405.84
syn5,0.5,gnnexplainer,100.0,1.0,0.5582948893002869,0.47416666666666674,0.714326035076035,0.6420846254183895,0.85,0.99,0.714287281036377,0.8630461692810059,0.9971641302108765,9.67,2.5275,3410.0,0.989724340175953,35.04
syn5,0.5,ig_node,100.0,1.0,0.7814966701353506,0.7333333333333333,0.8507807976337389,0.8661892104745028,1.0,0.72,0.8668781518936157,0.5847089886665344,0.9937594532966614,21.28,0.2249,3410.0,0.7780938416422291,756.7
syn5,0.5,occlusion,100.0,1.0,0.3178717201648389,0.23333333333333336,0.786845865602048,0.5035206241386099,0.75,1.0,0.6207718253135681,0.8679665923118591,0.8812961578369141,404.78,0.1295,3410.0,0.002346041055718473,3402.0
syn5,0.5,pagerank,100.0,1.0,0.5384791881664945,0.3841666666666667,0.920904761904762,0.6919944871037608,1.0,0.99,0.8666999340057373,0.8499776721000671,0.9970852136611938,9.94,0.0184,3410.0,0.0008445747800586767,3407.12
syn5,0.5,pgmexplainer,100.0,1.0,0.7928803204375512,0.9291666666666666,0.7189110292504591,0.9640743748769444,1.0,0.02,0.8666999340057373,0.012245511636137962,0.9900469183921814,33.94,5.9245,3410.0,0.9833782991202349,56.68
syn5,0.5,random,100.0,1.0,0.013988424487651006,0.7508333333333335,0.007059991552342526,0.49817311478637527,0.96,0.97,0.8296051621437073,0.8385974168777466,0.5003695487976074,1703.74,0.0,3410.0,0.0002932551319647647,3409.0
syn5,0.5,sa_node,100.0,1.0,0.7387645069651936,0.6433333333333334,0.8984165834165835,0.8214771608584366,0.99,0.95,0.8583335280418396,0.7637656927108765,0.9949209094047546,17.32,0.004,3410.0,0.9833782991202349,56.68
syn5,0.5,subgraphx,100.0,1.0,0.6247970866871122,0.49166666666666664,0.9031424963924963,0.7456502264225242,1.0,0.73,0.867557168006897,0.5646765828132629,0.9961760640144348,13.04,3.1927,3410.0,0.9961759530791803,13.04
syn5,0.8,distance,100.0,1.0,0.3587492997198879,0.22666666666666668,0.9143333333333333,0.5566164599330576,0.45,1.0,0.43155503273010254,0.8666999340057373,0.9991027116775513,3.06,0.0155,3410.0,0.0012199413489736243,3405.84
syn5,0.8,gnnexplainer,100.0,1.0,0.5609532513275749,0.48083333333333333,0.6992216117216117,0.644578411104548,0.84,1.0,0.7059948444366455,0.8651686310768127,0.9971144199371338,9.84,3.833,3410.0,0.989724340175953,35.04
syn5,0.8,ig_node,100.0,1.0,0.4432171114059658,0.3025,0.8898452380952382,0.6510964264619019,0.49,0.91,0.45757579803466797,0.7968147993087769,0.9975659847259521,8.3,0.1908,3410.0,0.7780938416422291,756.7
